ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,pmra,pmdec,radial_velocity,radial_velocity_error,mh_gspphot,ruwe,phot_bp_rp_excess_factor,distance_pc,M_G,color,pm_total,v_t,iso_label,iso_score,stability
10.43483693089985,53.94639938746721,6.130252219957122,0.01446018,423.94025,13.279367,14.0504,12.418314,1.6320858,4422.3076,73.09860549559178,-56.43763770985723,-40.433117,0.97231597,0.4768,1.0242848,1.2868197,163.1254252059134,7.2167587163785285,1.6320858,92.3504903921428,71.40673968253441,-1,-0.024297231473852654,1.0
158.8276870655272,58.18218839013623,9.932715795565032,0.028464895,348.94617,15.4849205,16.897333,14.319322,2.5780115,3469.8665,27.670464279931675,13.456862048372564,-29.776419,3.0485628,-0.273,1.0023574,1.4290189,100.67739987552055,10.470260545986637,2.5780115,30.76916849146081,14.6833818314468,-1,-0.029831482044146984,1.0
94.34956822181682,41.658178057822,11.114773285190006,0.030083086,369.46918,15.241121,16.78861,14.0281105,2.7605,3408.1907,-15.57825947770063,-145.39610058898288,4.850756,5.057882,-0.005,1.0193441,1.460889,89.97034616373689,10.47062404277958,2.7605,146.2282744028534,62.36042813334598,-1,-0.07307504845556767,1.0
78.32188893184393,37.3367034538816,37.89526907288171,0.026304075,1440.6615,6.3506002,6.6129584,5.917682,0.69527626,6045.8574,-144.92237498352853,-136.77190703403556,-1.7538819,0.12368704,-0.6365,0.94066936,1.196704,26.388518262708722,4.2435251754620325,0.69527626,199.27129578690784,24.92516784122457,-1,-0.06458893031051527,1.0
184.1353123569076,13.988098932037165,7.351163896128486,0.018171635,404.54062,12.14139,12.663694,11.463443,1.2002516,4709.467,78.79421950231695,-46.97748477471541,0.9465699,0.68736005,-0.1746,1.155411,1.2342207,136.03288052476333,6.473170527835016,1.2002516,91.73556073158284,59.15070919541128,-1,-0.007936809734928718,0.78
166.18851097528963,41.238169021096816,1.3089496140749644,0.017790366,73.57632,13.140454,13.387188,12.733993,0.6531954,6285.735,-37.46745315457657,-68.27306092529629,4.014267,3.088474,-1.3821,0.9922873,1.1898619,763.9713471375296,3.7250686469998993,0.6531954,77.8782440351579,282.01458081908066,-1,-0.04489485370414115,1.0
48.53325999959058,2.9857897899468724,5.92625279391008,0.033229705,178.34203,10.3438,10.672695,9.847318,0.82537746,5606.7676,75.05141633971834,-49.98217833495551,-67.477295,0.5131343,-0.4361,1.3897196,1.2006607,168.7406924368156,4.207700865367986,0.82537746,90.17168760595001,72.12210044286685,-1,-0.005219975074676753,1.0
56.54268722099869,-66.56371665710132,12.222276581994803,0.014076951,868.24744,12.931969,13.987945,11.911132,2.0768127,3827.6816,103.19915754945012,-42.724734129994665,46.50912,0.9583261,-0.0001,1.1950777,1.3520275,81.81781792380201,8.36772953645227,2.0768127,111.69363914473804,43.31663139794945,-1,-0.05524045039559944,1.0
59.32099302140032,4.205100259973484,10.270694693727595,0.020923892,490.85968,14.427376,15.604866,13.350248,2.2546177,3608.4214,-8.130812450909744,-95.31855335054168,-26.166262,3.1521227,-0.6028,1.1616998,1.3803477,97.36439742588288,9.485375097951806,2.2546177,95.66470991934241,44.14995660367642,-1,-0.031982283898136066,1.0
248.6056571991221,44.68247446469368,9.08852401343687,0.016711816,543.8382,14.735023,15.949387,13.642665,2.3067217,3640.4282,-12.584199864104466,-74.74713154980657,-17.928488,4.307912,-0.1886,1.0214463,1.3881972,110.02886701092018,9.52748979517061,2.3067217,75.79904855038627,39.53199547007244,-1,-0.026715521276736154,1.0
207.361641893836,26.874737998155585,6.647826555718139,0.0176845,375.91257,13.863542,14.710616,12.955562,1.7550545,4084.1248,-150.4392897357485,-13.360270251940058,-46.056522,2.3178637,-0.1051,1.0884352,1.3037968,150.42510384688788,7.976940400091795,1.7550545,151.03137659904104,107.6876358128931,-1,-0.017917471207456903,1.0
239.01784824723973,80.3199969220863,7.345482007902128,0.023893882,307.42105,15.501114,16.768913,14.385953,2.3829603,3568.9211,0.1713892115510127,-58.19374066511042,-61.430313,5.326549,-0.3054,1.0805216,1.4012492,136.13810488191507,9.831215496549543,2.3829603,58.19399304790797,37.55227046371375,-1,-0.016131470649192625,1.0
53.59309337298176,50.36500776593338,7.12934176324106,0.023226036,306.95474,14.598994,15.750456,13.536152,2.214304,3792.3752,40.91859889452993,-101.29092695030717,10.537834,3.607917,-0.0069,1.0607775,1.3714578,140.26540362477888,8.864241171146702,2.214304,109.2436891447002,72.63154211735753,-1,-0.04143316611223402,1.0
343.36449705496284,-5.988263721536462,9.886260415205587,0.031814758,310.74448,6.8871317,7.0228825,6.6301537,0.3927288,7267.6646,-68.39809374620097,-48.86636314613041,6.734954,0.19274713,-0.124,1.2268173,1.173323,101.1504813753386,1.8622919303998522,0.3927288,84.06081533772789,40.303233777657304,-1,-0.05297098873702932,1.0
